school_name,state,level,ownership,student_count,teacher_count,latitude,longitude,ward_code,address,status
Sammeri Primary School,AD,Primary,Public,,,8.42954,11.951722,ADSGAN05,"Sammeri Primary School, AD State, Nigeria",Open
Amdur Primary School,AD,Primary,Public,,,10.079255,12.545916,ADSGMB03,"Amdur Primary School, AD State, Nigeria",Open
Kalajanga Primary School,AD,Primary,Public,,,9.240068,12.208695,ADSMWA09,"Kalajanga Primary School, AD State, Nigeria",Open
Dimdima Primary School,AD,Primary,Public,,,9.782112,12.414592,ADSSNG02,"Dimdima Primary School, AD State, Nigeria",Open
Model Islamiya Primary School,AD,Primary,Private,,,8.4401889,12.0520039,ADSGAN03,"Model Islamiya Primary School, AD State, Nigeria",Unknown
Batal Primary School,AD,Primary,Public,,,8.334856,12.055701,ADSGAN08,"Batal Primary School, AD State, Nigeria",Open
Sabon Pegi Primary School,AD,Primary,Public,,,9.543461,12.017557,ADSNUM01,"Sabon Pegi Primary School, AD State, Nigeria",Open
Kunteri Primary School,AD,Primary,Public,,,9.538193,12.215642,ADSDSA02,"Kunteri Primary School, AD State, Nigeria",Open
Mbulo Primary School,AD,Primary,Public,,,8.643632,12.01958,ADSJAD09,"Mbulo Primary School, AD State, Nigeria",Open
Waduku Primary School,AD,Primary,Public,,,9.508872,11.645575,ADSLMR10,"Waduku Primary School, AD State, Nigeria",Open
Pudozambun Primary School,AD,Primary,Public,,,9.433148,11.896729,ADSDSA05,"Pudozambun Primary School, AD State, Nigeria",Unknown
Eyn Nursery and Primary School Gimma,AD,Primary,Private,,,10.261053,13.239105,ADSGYL06,"Eyn Nursery and Primary School Gimma, AD State, Nigeria",Unknown
Kudori Primary School,AD,Primary,Public,,,8.022643,11.5383,ADSTNG07,"Kudori Primary School, AD State, Nigeria",Open
Gashaka Primary School,AD,Primary,Public,,,10.170322,12.97516,ADSHNG11,"Gashaka Primary School, AD State, Nigeria",Open
Nzumosu Primary School,AD,Primary,Public,,,9.383729,11.625184,ADSNUM02,"Nzumosu Primary School, AD State, Nigeria",Open
Pella Islamiya Primary,AD,Primary,Public,,,10.155438,12.925905,ADSHNG11,"Pella Islamiya Primary, AD State, Nigeria",Unknown
Abu Ayyub Primary School,AD,Primary,Private,,,10.277068,13.276151,ADSMUB05,"Abu Ayyub Primary School, AD State, Nigeria",Unknown
Bahuli Primary,AD,Primary,Public,,,10.249285,13.404485,ADSMUB01,"Bahuli Primary, AD State, Nigeria",Unknown
Jumbul Primary School,AD,Primary,Public,,,9.877157,12.022484,ADSSHG05,"Jumbul Primary School, AD State, Nigeria",Open
Mbilla Primary School,AD,Primary,Public,,,9.08528,12.072856,ADSMWA10,"Mbilla Primary School, AD State, Nigeria",Open
Dwam II Primary School,AD,Primary,Public,,,9.457984,12.07521,ADSDSA06,"Dwam II Primary School, AD State, Nigeria",Open
Durbishi Primary School,AD,Primary,Public,,,10.197805,13.407848,ADSGYL01,"Durbishi Primary School, AD State, Nigeria",Unknown
LGEA Primary School Bollere,AD,Primary,Public,,,9.506555,11.46667,ADSLMR09,"LGEA Primary School Bollere, AD State, Nigeria",Unknown
Bosivani Primary School,AD,Primary,Public,,,8.7993711,12.484508,ADSFUR05,"Bosivani Primary School, AD State, Nigeria",Unknown
Jau Primary School,AD,Primary,Public,,,10.374411,12.59867,ADSGMB08,"Jau Primary School, AD State, Nigeria",Open
Gwakta Primary School,AD,Primary,Public,,,9.949879,12.193819,ADSSHG02,"Gwakta Primary School, AD State, Nigeria",Open
